molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value
CHEMBL2430883,CCCCOC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,398.11,nM,6.4
CHEMBL2430882,COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,251.19,nM,6.6
CHEMBL2430881,COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)O)c1nnc(C)n1-2,7943.28,nM,5.1
CHEMBL2430880,CCNC(=O)C[C@@H]1N=C(c2cccc(F)c2)c2cc(OC)ccc2-n2c(C)nnc21,1258.93,nM,5.9
CHEMBL1958347,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2ccc(OC)cc2-n2c(C)nnc21,1995.26,nM,5.7
CHEMBL2430879,COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCC1CC1)c1nnc(C)n1-2,501.19,nM,6.3
CHEMBL2430878,COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1cccnc1)c1nnc(C)n1-2,501.19,nM,6.3
CHEMBL2430877,COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccccn1)c1nnc(C)n1-2,398.11,nM,6.4
CHEMBL2430876,COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1cccs1)c1nnc(C)n1-2,398.11,nM,6.4
CHEMBL2430875,COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(F)cc1)c1nnc(C)n1-2,501.19,nM,6.3
CHEMBL2430874,CCOC(=O)NC1N=C(c2ccc(Cl)cc2)c2ccccc2-n2c(C)nnc21,794.33,nM,6.1
CHEMBL2430873,CCOC(=O)N[C@@H]1N=C(c2ccccc2)c2ccccc2-n2c(C)nnc21,398.11,nM,6.4
CHEMBL2430872,CCOC(=O)N[C@H]1N=C(c2ccccc2)c2ccccc2-n2c(C)nnc21,100000.0,nM,4.0
CHEMBL2430871,CCOC(=O)NC1N=C(c2ccccc2)c2ccccc2-n2c(C)nnc21,794.33,nM,6.1
CHEMBL2430870,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2NC(=O)Oc1cccc(F)c1,1584.89,nM,5.8
CHEMBL2430869,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2NC(=O)OCc1ccc(F)cc1,501.19,nM,6.3
CHEMBL2430896,Cc1ccc(C2=NC(NC(=O)OCc3ccccc3)c3nnc(C)n3-c3ccccc32)cc1,1258.93,nM,5.9
CHEMBL2430895,COc1ccc(C2=NC(NC(=O)OCc3ccccc3)c3nnc(C)n3-c3ccccc32)cc1,1258.93,nM,5.9
CHEMBL2430894,COc1cccc(C2=NC(NC(=O)OCc3ccccc3)c3nnc(C)n3-c3ccccc32)c1,1000.0,nM,6.0
CHEMBL2430893,COc1ccccc1C1=NC(NC(=O)OCc2ccccc2)c2nnc(C)n2-c2ccccc21,5011.87,nM,5.3
CHEMBL2430892,COc1ccc2c(c1)C(c1ccccc1)=NC(NC(=O)OCc1ccccc1)c1nnc(C)n1-2,501.19,nM,6.3
CHEMBL2430891,Cc1ccc2c(c1)-n1c(C)nnc1C(NC(=O)OCc1ccccc1)N=C2c1ccccc1,1584.89,nM,5.8
CHEMBL2430890,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2NC(=O)OCc1ccccc1,1258.93,nM,5.9
CHEMBL2430889,Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1)=NC2NC(=O)OCc1ccccc1,3162.28,nM,5.5
CHEMBL2430888,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2CC(=O)NCc1ccccc1,6309.57,nM,5.2
CHEMBL2430887,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2NS(=O)(=O)Cc1ccccc1,6309.57,nM,5.2
CHEMBL2430886,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2NC(=O)NCc1ccccc1,1258.93,nM,5.9
CHEMBL2430885,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2NC(=O)CCc1ccccc1,3981.07,nM,5.4
CHEMBL2430884,Cc1nnc2n1-c1ccccc1C(c1ccccc1)=NC2N,19952.62,nM,4.7
CHEMBL2431085,CCCC1=N[C@@H](CC(N)=O)c2onc(C)c2-c2sc(C)c(C)c21,1500.0,nM,5.82
CHEMBL2431082,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(N)nc1)=N[C@H]2CC(N)=O,380.0,nM,6.42
CHEMBL2431081,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cn1)=N[C@H]2CC(N)=O,240.0,nM,6.62
CHEMBL2431080,Cc1cc(Cl)ccc1C1=N[C@@H](CC(N)=O)c2onc(C)c2-c2sc(C)c(C)c21,160.0,nM,6.8
CHEMBL2431079,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(C#N)cc1)=N[C@H]2CC(N)=O,91.0,nM,7.04
CHEMBL2431078,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccccc1)=N[C@H]2CC(N)=O,180.0,nM,6.75
CHEMBL2431077,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccccc1Cl)=N[C@H]2CC(N)=O,1900.0,nM,5.72
CHEMBL2431076,Cc1noc2c1-c1sc(C)c(C)c1C(c1cccc(Cl)c1)=N[C@H]2CC(N)=O,470.0,nM,6.33
CHEMBL2431075,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(C#N)cc1)=N[C@H]2[C@@H](C)C(N)=O,710.0,nM,6.15
CHEMBL2431074,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cc1)=N[C@H]2Cc1nccs1,2100.0,nM,5.68
CHEMBL2431073,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cc1)=N[C@H]2Cc1ncc[nH]1,3600.0,nM,5.44
CHEMBL2431094,CC(=O)NC[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-c2c(C)noc21,2200.0,nM,5.66
CHEMBL2431093,COC(=O)NC[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-c2c(C)noc21,1900.0,nM,5.72
CHEMBL2431091,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-c2c(C)noc21,320.0,nM,6.5
CHEMBL2431090,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O,140.0,nM,6.85
CHEMBL2431089,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cc1)=N[C@H]2CC(=O)OC(C)(C)C,2100.0,nM,5.68
CHEMBL2431087,Cc1noc2c1-c1sc(C)c(C)c1C(C1CCOCC1)=N[C@H]2CC(N)=O,6200.0,nM,5.21
CHEMBL2431086,Cc1noc2c1-c1sc(C)c(C)c1C(N1CCOCC1)=N[C@H]2CC(N)=O,1100.0,nM,5.96
CHEMBL2431084,Cc1noc2c1-c1sc(C)c(C)c1C(Cc1ccccc1)=N[C@H]2CC(N)=O,5700.0,nM,5.24
CHEMBL2431083,Cc1noc2c1-c1sc(C)c(C)c1C(c1cncnc1)=N[C@H]2CC(N)=O,2500.0,nM,5.6
CHEMBL2431092,CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-c2c(C)noc21,2100.0,nM,5.68
CHEMBL2431088,Cc1noc(N)c1-c1ccccc1,33000.0,nM,4.48
CHEMBL2436011,Cn1cc(-c2ccc(F)cc2)c2nc[nH]c(=O)c21,16000.0,nM,4.8
CHEMBL2436010,Cc1ccc(-c2cn(C)c3c(=O)[nH]cnc23)cc1,31000.0,nM,4.51
CHEMBL2436009,CC(=O)Nc1cccc(-c2cc(C)[n+]([O-])c3ccccc23)c1,42000.0,nM,4.38
CHEMBL2436008,Cc1cc(N(C)Cc2ccc(Cl)s2)n2nc(N)nc2n1,28000.0,nM,4.55
CHEMBL2436007,Cc1ccc(CNc2cc(C)nc3nc(N)nn23)cc1,74000.0,nM,4.13
CHEMBL2436006,Cc1ccc(CN(C)c2cc(C)nc3nc(N)nn23)cc1,66000.0,nM,4.18
CHEMBL2436005,Cc1cc(N(C)Cc2ccc(Cl)s2)n2ncnc2n1,24000.0,nM,4.62
CHEMBL2436003,CC(C)Cc1nc(-c2c[nH]c(=O)c(Cl)c2)n(-c2cccc3c2OCCO3)n1,77000.0,nM,4.11
CHEMBL2436014,Cc1noc(N)c1-c1cccc(C(F)(F)F)c1,80900.0,nM,4.09
CHEMBL3108801,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(=O)(=O)c4ccccc4Cl)c3)nn12,158.49,nM,6.8
CHEMBL3108800,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(C)(=O)=O)c3)nn12,251.19,nM,6.6
CHEMBL3108803,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(=O)(=O)c4ccc(Cl)cc4)c3)nn12,1000.0,nM,6.0
CHEMBL3108781,Cc1ccc(-c2nn3c(C)nnc3c3ccccc23)cc1S(=O)(=O)N(C)C,1258.93,nM,5.9
CHEMBL1513201,CNS(=O)(=O)c1cc(-c2nn3c(C)nnc3c3ccccc23)ccc1C,1995.26,nM,5.7
CHEMBL3110353,COc1ccc(S(=O)(=O)Nc2cc(-c3nn4c(C)nnc4c4ccccc34)ccc2N2CCN(C)CC2)cc1,5011.87,nM,5.3
CHEMBL3110357,Cc1ccc(-c2nn3c(C)nnc3c3ccccc23)cc1NS(C)(=O)=O,5011.87,nM,5.3
CHEMBL3108806,CCC(=O)Nc1cc(-c2nn3c(C)nnc3c3ccccc23)ccc1C,19952.62,nM,4.7
CHEMBL3220875,Cc1noc(C)c1-c1ccc2ncn(Cc3cccc(C(=O)N(C)C)c3)c2c1,630.96,nM,6.2
CHEMBL3220869,Cc1noc(C)c1-c1ccc2ncn(Cc3ccccc3[N+](=O)[O-])c2c1,630.96,nM,6.2
CHEMBL3220861,Cc1noc(C)c1-c1ccc2ncn(Cc3cccc(F)c3)c2c1,630.96,nM,6.2
CHEMBL3220868,Cc1noc(C)c1-c1ccc2ncn(Cc3ccccc3Cl)c2c1,794.33,nM,6.1
CHEMBL3220867,COc1ccc(Cn2cnc3ccc(-c4c(C)noc4C)cc32)cc1,794.33,nM,6.1
CHEMBL3220863,Cc1noc(C)c1-c1ccc2ncn(Cc3ccc(Cl)cc3)c2c1,794.33,nM,6.1
CHEMBL3220871,Cc1noc(C)c1-c1ccc2ncn(Cc3ccccc3C#N)c2c1,1000.0,nM,6.0
CHEMBL3220865,Cc1noc(C)c1-c1ccc2ncn(Cc3cccc(Br)c3)c2c1,1000.0,nM,6.0
CHEMBL3220874,COC(=O)c1ccc(Cn2cnc3ccc(-c4c(C)noc4C)cc32)cc1,1258.93,nM,5.9
CHEMBL3220862,Cc1noc(C)c1-c1ccc2ncn(Cc3cccc(Cl)c3)c2c1,1258.93,nM,5.9
CHEMBL3220860,Cc1noc(C)c1-c1ccc2c(c1)C(O)(c1ccccc1)CC2,1258.93,nM,5.9
CHEMBL3220850,COc1ccc(Cn2c(C)nc3ccc(-c4c(C)noc4C)cc32)cc1,1584.89,nM,5.8
CHEMBL3220866,Cc1noc(C)c1-c1ccc2c(c1)ncn2Cc1cccc(Br)c1,1584.89,nM,5.8
CHEMBL3220849,Cc1noc(C)c1-c1ccc2c(c1)nc(C)n2Cc1ccc(O)cc1,1995.26,nM,5.7
CHEMBL3220876,Cc1noc(C)c1-c1ccc2ncn(Cc3ccc(C(=O)N(C)C)cc3)c2c1,1995.26,nM,5.7
CHEMBL3220864,Cc1noc(C)c1-c1ccc2c(c1)ncn2Cc1ccc(Cl)cc1,2511.89,nM,5.6
